iter	Logloss
0	0.6890915343
1	0.6843108913
2	0.6801286396
3	0.6765219206
4	0.6729355512
5	0.669232027
6	0.6656808266
7	0.6628491236
8	0.6598463738
9	0.6565491788
10	0.6529510466
11	0.6492603498
12	0.6451792568
13	0.6415441581
14	0.6378456877
15	0.6338438326
16	0.6302215763
17	0.6267849996
18	0.6235239436
19	0.6204538845
20	0.6170580143
21	0.6135093122
22	0.6103658464
23	0.6068994826
24	0.6041417172
25	0.6019568104
26	0.5984861176
27	0.5954071823
28	0.5929423873
29	0.5892853341
30	0.5866836465
31	0.5843537565
32	0.5822093851
33	0.5795771008
34	0.5773091986
35	0.5751896166
36	0.5729785145
37	0.5707390928
38	0.5686913648
39	0.5656764632
40	0.563167238
41	0.5603741395
42	0.5579772771
43	0.5567259391
44	0.5546718989
45	0.5525747819
46	0.5506223647
47	0.5485505356
48	0.5460972636
49	0.5444176098
50	0.5424231214
51	0.5400093505
52	0.5373678136
53	0.5351788427
54	0.5334717546
55	0.5309170961
56	0.528641226
57	0.5266822822
58	0.5249753499
59	0.5234164558
60	0.5211242251
61	0.5191677908
62	0.5175746951
63	0.5160976224
64	0.5140066573
65	0.5125079442
66	0.5107228692
67	0.5087244018
68	0.5070704758
69	0.5056407772
70	0.5038783981
71	0.5024842537
72	0.5006540625
73	0.4986445952
74	0.4965912774
75	0.4950765877
76	0.493550217
77	0.4918307556
78	0.490213201
79	0.4888225231
80	0.4872849846
81	0.486105925
82	0.4849178282
83	0.4836184203
84	0.4821107225
85	0.48107837
86	0.4795269893
87	0.4779622392
88	0.4770295765
89	0.4755536565
90	0.4741733401
91	0.4725990637
92	0.4714650653
93	0.4704292503
94	0.4687113517
95	0.4675821932
96	0.4661068061
97	0.4646060684
98	0.4631341849
99	0.4620317769
100	0.4606752523
101	0.4592830598
102	0.4581515504
103	0.4569658857
104	0.4560441077
105	0.4547789544
106	0.4535557831
107	0.4521470609
108	0.4510095626
109	0.4497639064
110	0.449120004
111	0.4477131928
112	0.4464360365
113	0.4457647212
114	0.4445788904
115	0.4434565204
116	0.4426058732
117	0.4414696932
118	0.4402067882
119	0.439454397
120	0.4382294713
121	0.4368130046
122	0.435965073
123	0.4348297222
124	0.433962669
125	0.4329404874
126	0.4319559206
127	0.4309746094
128	0.4300786915
129	0.4289793713
130	0.4279751943
131	0.4271355174
132	0.426205979
133	0.425647071
134	0.4246441845
135	0.423827339
136	0.4229737728
137	0.4222183094
138	0.4212000722
139	0.4202709299
140	0.4193719988
141	0.4187092339
142	0.4179977002
143	0.4173493006
144	0.4165509916
145	0.4157703345
146	0.4150218565
147	0.4142870648
148	0.4133995956
149	0.4124457779
150	0.4114895103
151	0.4105315989
152	0.409907097
153	0.4092058148
154	0.4086288311
155	0.4080195813
156	0.4075142061
157	0.4068407946
158	0.4066021578
159	0.4057563864
160	0.404892879
161	0.4043867371
162	0.4037287557
163	0.4031610516
164	0.4027075273
165	0.402096481
166	0.4013966233
167	0.400796132
